#format table ## [Custom WaveView] saved 05:23:05 Mon Jan 15 2024
TIME ,x_ssad.v(b5) ,x_ssad.v(b4) ,x_ssad.v(b3) ,x_ssad.v(b2) ,x_ssad.v(b1) ,x_ssad.v(b0) 
 8.000E-05 , 1.267E+00 , 1.267E+00 , 1.310E+00 , 3.213E-05 , 1.310E+00 , 3.198E-05 
 1.300E-04 , 2.939E-04 , 2.939E-04 , 2.939E-04 , 1.248E+00 , 1.248E+00 , 1.300E+00 
 1.800E-04 , 1.267E+00 , 1.267E+00 , 1.310E+00 , 3.214E-05 , 1.310E+00 , 3.213E-05 
 2.300E-04 , 1.705E-03 , 1.705E-03 , 1.705E-03 , 1.231E+00 , 1.290E+00 , 1.705E-03 
 2.800E-04 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.889E-06 , 1.284E+00 , 1.320E+00 
 3.300E-04 , 1.705E-03 , 1.705E-03 , 1.705E-03 , 1.231E+00 , 1.290E+00 , 1.705E-03 
 3.800E-04 , 1.267E+00 , 1.267E+00 , 1.310E+00 , 3.214E-05 , 1.310E+00 , 3.212E-05 
 4.300E-04 , 1.706E-03 , 1.706E-03 , 1.706E-03 , 1.231E+00 , 1.290E+00 , 1.706E-03 
 4.800E-04 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.889E-06 , 1.284E+00 , 1.320E+00 
 5.300E-04 , 1.496E-03 , 1.496E-03 , 1.496E-03 , 1.290E+00 , 1.496E-03 , 1.290E+00 
 5.800E-04 , 1.266E+00 , 1.266E+00 , 1.266E+00 , 1.310E+00 , 3.697E-05 , 3.693E-05 
 6.300E-04 , 1.706E-03 , 1.706E-03 , 1.706E-03 , 1.231E+00 , 1.290E+00 , 1.706E-03 
 6.800E-04 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.888E-06 , 1.284E+00 , 1.320E+00 
 7.300E-04 , 1.497E-03 , 1.497E-03 , 1.497E-03 , 1.290E+00 , 1.497E-03 , 1.290E+00 
 7.800E-04 , 1.266E+00 , 1.266E+00 , 1.266E+00 , 1.310E+00 , 3.698E-05 , 3.698E-05 
 8.300E-04 , 1.497E-03 , 1.497E-03 , 1.497E-03 , 1.290E+00 , 1.497E-03 , 1.290E+00 
 8.800E-04 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.889E-06 , 1.284E+00 , 1.320E+00 
 9.300E-04 , 1.497E-03 , 1.497E-03 , 1.497E-03 , 1.290E+00 , 1.497E-03 , 1.290E+00 
 9.800E-04 , 1.266E+00 , 1.266E+00 , 1.266E+00 , 1.310E+00 , 3.699E-05 , 3.699E-05 
 1.030E-03 , 6.145E-03 , 6.145E-03 , 6.145E-03 , 1.281E+00 , 6.145E-03 , 6.145E-03 
 1.080E-03 , 1.284E+00 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.889E-06 , 1.320E+00 
 1.130E-03 , 1.497E-03 , 1.497E-03 , 1.497E-03 , 1.290E+00 , 1.497E-03 , 1.290E+00 
 1.180E-03 , 1.266E+00 , 1.266E+00 , 1.266E+00 , 1.310E+00 , 3.700E-05 , 3.700E-05 
 1.230E-03 , 6.146E-03 , 6.146E-03 , 6.146E-03 , 1.281E+00 , 6.146E-03 , 6.146E-03 
 1.280E-03 , 1.284E+00 , 1.284E+00 , 1.284E+00 , 1.320E+00 , 8.886E-06 , 1.320E+00 
 1.330E-03 , 6.146E-03 , 6.146E-03 , 6.146E-03 , 1.281E+00 , 6.146E-03 , 6.146E-03 
